Time,Temperature,Humidity,,,
5/15/2021 22:00,22.3,43.1,,,
5/16/2021 0:00,22.2,44,,,
5/16/2021 2:00,22.1,44,,,
5/16/2021 4:00,22,43.3,,,
5/16/2021 6:00,22,43,,,
5/16/2021 8:00,22.2,43,,,
5/16/2021 10:00,22.4,43,,,
5/16/2021 12:00,22.5,43,,,
5/16/2021 14:00,22.5,43,,,
5/16/2021 16:00,22.5,43,,,
5/16/2021 18:00,22.4,43,,,
5/16/2021 20:00,22.3,43.3,,,
5/16/2021 22:00,22.3,44,,,
5/17/2021 0:00,22.2,44,,,
5/17/2021 2:00,22.1,44,,,
5/17/2021 4:00,22.1,44,,,
5/17/2021 6:00,21.9,45,,,
5/17/2021 8:00,22.4,44.6,,,
5/17/2021 10:00,22.5,35.4,,,
5/17/2021 12:00,22.6,32.2,,,
5/17/2021 14:00,23,33.9,,,
5/17/2021 16:00,23.1,37.3,,,
5/17/2021 18:00,22.9,37,,,
5/17/2021 20:00,22.7,37.7,,,
5/17/2021 22:00,22.5,38,,,
5/18/2021 0:00,22.3,38,,,
5/18/2021 2:00,22,38,,,
5/18/2021 4:00,21.8,37.5,,,
5/18/2021 6:00,21.6,37.9,,,
5/18/2021 8:00,21.9,36.9,,,
5/18/2021 10:00,22.2,35.8,,,
5/18/2021 12:00,22.5,32.9,,,
5/18/2021 14:00,22.5,34.4,,,
5/18/2021 16:00,22.4,37.2,,,
5/18/2021 18:00,22.3,37,,,
5/18/2021 20:00,22.2,37,,,
5/18/2021 22:00,22,37.4,,,
5/19/2021 0:00,21.8,38,,,
5/19/2021 2:00,21.7,38.4,,,
5/19/2021 4:00,21.5,39.3,,,
5/19/2021 6:00,21.3,41.2,,,
5/19/2021 8:00,21.5,40.5,,,
5/19/2021 10:00,21.7,35.5,,,
5/19/2021 12:00,22.1,33,,,
5/19/2021 14:00,22.3,34.3,,,
5/19/2021 16:00,22.3,36.6,,,
5/19/2021 18:00,22.1,36,,,
5/19/2021 20:00,21.9,36,,,
5/19/2021 22:00,21.7,35.7,,,
5/20/2021 0:00,21.5,35.8,,,
5/20/2021 2:00,21.4,36,,,
5/20/2021 4:00,21.1,35.6,,,
5/20/2021 6:00,20.6,35.7,,,
5/20/2021 8:00,21.1,33.4,,,
5/20/2021 10:00,21.5,30.6,,,
5/20/2021 12:00,21.9,27.9,,,
5/20/2021 14:00,22.3,31.3,,,
5/20/2021 16:00,22.3,33.9,,,
5/20/2021 18:00,22.2,33,,,
5/20/2021 20:00,21.9,33.8,,,
5/20/2021 22:00,21.7,34.2,,,
5/21/2021 0:00,21.5,35,,,
5/21/2021 2:00,21.3,35,,,
5/21/2021 4:00,21.1,35.5,,,
5/21/2021 6:00,21,37.8,,,
5/21/2021 8:00,21.1,36.4,,,
5/21/2021 10:00,21.3,37,,,
5/21/2021 12:00,21.5,37.1,,,
5/21/2021 14:00,21.6,38.8,,,
5/21/2021 16:00,21.6,41.3,,,
5/21/2021 18:00,21.5,40,,,
5/21/2021 20:00,21.4,39,,,
5/21/2021 22:00,21.3,38.4,,,
5/22/2021 0:00,21.2,38,,,
5/22/2021 2:00,21.1,38.2,,,
5/22/2021 4:00,21,39.1,,,
5/22/2021 6:00,20.9,40,,,
5/22/2021 8:00,21,40,,,
5/22/2021 10:00,21.1,40,,,
5/22/2021 12:00,21.4,40,,,
5/22/2021 14:00,21.6,40,,,
5/22/2021 16:00,21.6,40,,,
5/22/2021 18:00,21.5,40.6,,,
5/22/2021 20:00,21.4,41,,,
5/22/2021 22:00,21.2,41.1,,,
5/23/2021 0:00,21.1,42,,,
5/23/2021 2:00,21,42,,,
5/23/2021 4:00,20.9,42.8,,,
5/23/2021 6:00,20.9,42.7,,,
5/23/2021 8:00,20.8,42.5,,,
5/23/2021 10:00,20.8,42,,,
5/23/2021 12:00,21.1,42,,,
5/23/2021 14:00,21.5,42,,,
5/23/2021 16:00,21.5,41.4,,,
5/23/2021 18:00,21.4,41.5,,,
5/23/2021 20:00,21.2,42,,,
5/23/2021 22:00,21,42,,,
5/24/2021 0:00,20.9,42,,,
5/24/2021 2:00,20.7,42,,,
5/24/2021 4:00,20.6,42.3,,,
5/24/2021 6:00,20.6,42.2,,,
5/24/2021 8:00,20.5,42.8,,,
5/24/2021 10:00,20.5,43,,,
5/24/2021 12:00,20.5,43,,,
5/24/2021 14:00,20.4,43.4,,,
5/24/2021 16:00,20.4,44,,,
5/24/2021 18:00,20.3,44.5,,,
5/24/2021 20:00,20.2,45,,,
